"","state","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","NA"
"1","FL",13,25,25,33,26,20,41,21,24,20,17,17,19,18,18,16,0,101
"2","GA",11,9,3,10,9,7,12,5,4,7,10,3,7,3,6,4,0,68
"3","NC",19,38,30,41,39,51,39,31,36,32,37,31,37,17,31,32,0,123
"4","SC",2,1,7,3,6,7,8,5,3,4,4,4,5,9,11,17,0,39
"5","VA",11,19,13,15,13,17,28,25,21,20,12,12,10,24,15,10,1,98
"6","MD",0,5,7,8,4,5,5,7,13,8,2,2,3,3,2,2,0,48
"7","PA",0,0,7,18,12,8,16,9,6,7,5,8,8,12,15,14,0,115
"8","CT",0,0,0,14,12,13,10,12,0,0,0,0,0,0,0,0,0,0
"9","WV",0,0,0,2,0,6,2,0,0,2,2,2,2,2,3,1,0,58
"10","NH",0,0,0,0,0,16,13,15,13,16,17,18,17,16,17,18,0,5
"11","ME",0,0,0,0,0,0,2,3,0,0,0,22,56,55,61,55,0,5
"12","NY",0,0,0,0,0,0,13,20,21,20,12,16,8,9,12,0,0,8
"13","MA",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"14","DE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15","VT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
