created_at,Route,Route Stop,Latitude,Longitude,Wind,Sky,Noise,Moon Visible,Species,1,2,3,4,5,6
6/4/2023 21:34,Milford Neck,1,39.000373,-75.334174,2,0,1,N,None,0,0,0,0,0,0
6/4/2023 21:34,Milford Neck,2,38.995968,-75.352012,2,0,1,Y,None,0,0,0,0,0,0
6/4/2023 21:34,Milford Neck,3,38.991567,-75.370229,1,1,1,N,None,0,0,0,0,0,0
6/4/2023 21:34,Milford Neck,4,38.982415,-75.354879,2,0,0,N,None,0,0,0,0,0,0
6/4/2023 21:34,Milford Neck,5,38.975234,-75.370972,1,0,0,N,None,0,0,0,0,0,0
6/4/2023 21:34,Milford Neck,6,38.978664,-75.389053,1,1,2,Y,None,0,0,0,0,0,0
6/4/2023 21:34,Milford Neck,7,38.983688,-75.406361,1,1,1,Y,None,0,0,0,0,0,0
6/4/2023 21:34,Milford Neck,8,38.972295,-75.418381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/4/2023 21:34,Milford Neck,9,38.984041,-75.432413,1,1,2,Y,None,0,0,0,0,0,0
6/4/2023 21:34,Milford Neck,10,38.995865,-75.421204,1,2,2,N,None,0,0,0,0,0,0
