original_code,common_name,scientific_name,code,notes
CWWI,Chuck-will's-widow,Antrostomus carolinensis,CWWI,
CONI,Common Nighthawk,Chordeiles minor,CONI,
MWPW,Mexican Whip-poor-will,Antrostomus arizonae,MWPW,
BCNI,Buff-collared Nightjar,Antrostomus ridgwayi,BCNI,
LENI,Lesser Nighthawk,Chordeiles acutipennis,LENI,
ANNI,Antillean Nighthawk,Chordeiles gundlachii,ANNI,
COPO,Common Poorwill,Phalaenoptilus nuttallii,COPO,
COPA,Common Paurauque,Nyctidromus albicollis,COPA,
EWPW,Eastern Whip-poor-will,Antrostomus vociferus,EWPW,
NONE,,,NONE,no species detected
WHWP,Eastern Whip-poor-will,Antrostomus vociferus,EWPW,
WPWI,Eastern Whip-poor-will,Antrostomus vociferus,EWPW,
EWPW,Eastern Whip-poor-will,Antrostomus vociferus,EWPW,
WWPW,Eastern Whip-poor-will,Antrostomus vociferus,EWPW,
